,wheel,station,sector,type,x,y,z,phix,phiy,phiz,xx,xy,xz,xa,xb,xc,yy,yz,ya,yb,yc,zz,za,zb,zc,aa,ab,ac,bb,bc,cc,xml_name,wheel,station,sector,status,nMuons,covMatrix,error,name,x_unc,y_unc,z_unc,phix_unc,phiy_unc,phiz_unc
0,-2,1,1,DTChamber,0.024307251,-0.3177490234,0.6459350586,0.0025887972,-0.0015824118,0.0009880937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,design_10_6_25M_01_1,-2,1,1,PASS,34,"[[ 1.00530e-02 -3.72584e-02  3.07145e-02  2.38051e-05 -1.82094e-05
   1.36088e-05]
 [-3.72584e-02  5.61657e-01 -4.45646e-01 -3.28764e-04 -6.12972e-05
   7.99485e-05]
 [ 3.07145e-02 -4.45646e-01  3.66357e-01  2.36972e-04  4.44973e-05
  -5.79992e-05]
 [ 2.38051e-05 -3.28764e-04  2.36972e-04  3.11113e-06 -6.45972e-08
  -2.09483e-07]
 [-1.82094e-05 -6.12972e-05  4.44973e-05 -6.45972e-08  1.21085e-06
  -9.64673e-07]
 [ 1.36088e-05  7.99485e-05 -5.79992e-05 -2.09483e-07 -9.64673e-07
   8.73835e-07]]",[0.100265   0.749438   0.605274   0.00176384 0.00110039 0.00093479],design_10_6_25M_01_1,0.100265,0.749438,0.605274,0.00176384,0.00110039,0.000934791
1,-2,1,2,DTChamber,-0.0582657667,-0.4341430664,0.5761742211,-0.0010700374,-0.0030620092,0.0023596736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,design_10_6_25M_01_1,-2,1,2,PASS,28,"[[ 1.03583e-02 -5.88293e-02  4.84749e-02  4.50903e-05 -3.68144e-05
   2.70689e-05]
 [-5.88293e-02  7.76877e-01 -6.07021e-01 -6.47753e-04  2.50687e-05
   3.84464e-05]
 [ 4.84749e-02 -6.07021e-01  5.01661e-01  4.64256e-04 -1.20601e-05
  -3.19468e-05]
 [ 4.50903e-05 -6.47753e-04  4.64256e-04  5.62584e-06 -1.18012e-07
  -4.47938e-07]
 [-3.68144e-05  2.50687e-05 -1.20601e-05 -1.18012e-07  1.88014e-06
  -1.48096e-06]
 [ 2.70689e-05  3.84464e-05 -3.19468e-05 -4.47938e-07 -1.48096e-06
   1.31580e-06]]",[0.101776   0.881407   0.70828    0.00237189 0.00137118 0.00114708],design_10_6_25M_01_1,0.101776,0.881407,0.70828,0.00237189,0.00137118,0.00114708
2,-2,1,3,DTChamber,-0.0218684626,0.2676391602,-0.1443126488,-0.0010437257,-0.0033603219,0.0027548695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,design_10_6_25M_01_1,-2,1,3,PASS,32,"[[ 1.60024e-02 -7.84388e-02  6.44686e-02  6.40515e-05 -2.43926e-05
   1.43986e-05]
 [-7.84388e-02  9.77056e-01 -7.81804e-01 -7.56685e-04 -3.21907e-05
   1.02052e-04]
 [ 6.44686e-02 -7.81804e-01  6.44490e-01  5.94451e-04  3.77481e-05
  -9.05201e-05]
 [ 6.40515e-05 -7.56685e-04  5.94451e-04  3.98371e-06 -1.81101e-07
  -2.49325e-07]
 [-2.43926e-05 -3.21907e-05  3.77481e-05 -1.81101e-07  1.74393e-06
  -1.39366e-06]
 [ 1.43986e-05  1.02052e-04 -9.05201e-05 -2.49325e-07 -1.39366e-06
   1.23341e-06]]",[0.126501   0.988461   0.802802   0.00199592 0.00132058 0.00111059],design_10_6_25M_01_1,0.126501,0.988461,0.802802,0.00199592,0.00132058,0.00111059
3,-2,1,4,DTChamber,0.1370811462,-0.6810302734,0.4504394531,0.0004307472,-0.0010825259,0.0007683585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,design_10_6_25M_01_1,-2,1,4,PASS,32,"[[ 1.64877e-02 -7.38554e-02  6.03518e-02  7.51901e-05 -1.15092e-05
   2.71844e-06]
 [-7.38554e-02  1.04240e+00 -8.35998e-01 -1.01303e-03 -5.00259e-05
   1.33253e-04]
 [ 6.03518e-02 -8.35998e-01  6.82434e-01  8.18982e-04  3.31636e-05
  -1.01920e-04]
 [ 7.51901e-05 -1.01303e-03  8.18982e-04  4.53876e-06  3.57723e-07
  -6.78713e-07]
 [-1.15092e-05 -5.00259e-05  3.31636e-05  3.57723e-07  1.53651e-06
  -1.22577e-06]
 [ 2.71844e-06  1.33253e-04 -1.01920e-04 -6.78713e-07 -1.22577e-06
   1.13767e-06]]",[0.128404   1.02098    0.826096   0.00213044 0.00123956 0.00106662],design_10_6_25M_01_1,0.128404,1.02098,0.826096,0.00213044,0.00123956,0.00106662
4,-2,1,5,DTChamber,-0.0399980472,-0.8148803711,0.8010216208,-0.0003829161,-0.0026558697,0.0016301261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,design_10_6_25M_01_1,-2,1,5,PASS,22,"[[ 2.31386e-02 -1.23961e-01  1.01802e-01  9.06781e-05 -9.74989e-05
   7.52882e-05]
 [-1.23961e-01  1.49068e+00 -1.18526e+00 -1.10663e-03  2.74653e-04
  -1.35668e-04]
 [ 1.01802e-01 -1.18526e+00  9.82077e-01  7.60511e-04 -1.70177e-04
   8.09610e-05]
 [ 9.06781e-05 -1.10663e-03  7.60511e-04  1.25481e-05 -1.40710e-06
  -1.06066e-07]
 [-9.74989e-05  2.74653e-04 -1.70177e-04 -1.40710e-06  4.50783e-06
  -3.47613e-06]
 [ 7.52882e-05 -1.35668e-04  8.09610e-05 -1.06066e-07 -3.47613e-06
   3.04642e-06]]",[0.152114   1.22093    0.990998   0.00354233 0.00212316 0.0017454 ],design_10_6_25M_01_1,0.152114,1.22093,0.990998,0.00354233,0.00212316,0.0017454
5,-2,1,6,DTChamber,0.0397432118,-1.7606811523,1.2186993255,0.0014744202,0.0006119908,-0.0010055017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,design_10_6_25M_01_1,-2,1,6,PASS,34,"[[ 7.25830e-03 -3.19231e-02  2.59636e-02  2.11082e-05 -1.58404e-05
   1.09311e-05]
 [-3.19231e-02  6.66156e-01 -5.25151e-01 -5.04793e-04 -2.96716e-05
   5.34971e-05]
 [ 2.59636e-02 -5.25151e-01  4.29143e-01  4.08031e-04 -3.68815e-06
  -2.00342e-05]
 [ 2.11082e-05 -5.04793e-04  4.08031e-04  3.53191e-06 -1.28048e-07
  -9.44437e-08]
 [-1.58404e-05 -2.96716e-05 -3.68815e-06 -1.28048e-07  1.34864e-06
  -1.03209e-06]
 [ 1.09311e-05  5.34971e-05 -2.00342e-05 -9.44437e-08 -1.03209e-06
   8.81133e-07]]",[0.0851957  0.816184   0.65509    0.00187934 0.00116131 0.00093869],design_10_6_25M_01_1,0.0851957,0.816184,0.65509,0.00187934,0.00116131,0.000938687
6,-2,1,7,DTChamber,0.0529632568,0.0864868164,-0.2386779785,0.0003057134,0.002798442,-0.0021483912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,design_10_6_25M_01_1,-2,1,7,PASS,35,"[[ 2.25177e-02 -1.42661e-01  1.17556e-01  1.17741e-04 -4.77838e-05
   3.10166e-05]
 [-1.42661e-01  2.15844e+00 -1.74660e+00 -1.84516e-03 -1.69394e-04
   2.97453e-04]
 [ 1.17556e-01 -1.74660e+00  1.43445e+00  1.38738e-03  1.08725e-04
  -2.08635e-04]
 [ 1.17741e-04 -1.84516e-03  1.38738e-03  1.04103e-05  3.02184e-07
  -1.09759e-06]
 [-4.77838e-05 -1.69394e-04  1.08725e-04  3.02184e-07  3.57794e-06
  -2.94539e-06]
 [ 3.10166e-05  2.97453e-04 -2.08635e-04 -1.09759e-06 -2.94539e-06
   2.62479e-06]]",[0.150059   1.46916    1.19769    0.0032265  0.00189154 0.00162012],design_10_6_25M_01_1,0.150059,1.46916,1.19769,0.0032265,0.00189154,0.00162012
7,-2,1,8,DTChamber,-0.2865533453,-0.4055175781,0.3812079911,0.0054051611,-0.0002932969,0.0013772604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,design_10_6_25M_01_1,-2,1,8,PASS,28,"[[ 1.35731e-02 -5.81272e-02  4.81758e-02  5.40409e-05 -3.20196e-05
   2.31384e-05]
 [-5.81272e-02  1.02581e+00 -8.14293e-01 -9.41040e-04  2.31337e-05
   4.36517e-05]
 [ 4.81758e-02 -8.14293e-01  6.68827e-01  7.50975e-04 -5.30269e-05
  -6.41073e-06]
 [ 5.40409e-05 -9.41040e-04  7.50975e-04  5.86343e-06 -3.85875e-07
  -1.16239e-07]
 [-3.20196e-05  2.31337e-05 -5.30269e-05 -3.85875e-07  2.40365e-06
  -1.85522e-06]
 [ 2.31384e-05  4.36517e-05 -6.41073e-06 -1.16239e-07 -1.85522e-06
   1.61451e-06]]",[0.116503   1.01282    0.817819   0.00242145 0.00155037 0.00127064],design_10_6_25M_01_1,0.116503,1.01282,0.817819,0.00242145,0.00155037,0.00127064
8,-2,1,9,DTChamber,0.1207943161,1.0399169922,-0.9853754326,-0.0007242712,-7.71988e-05,-0.0003152429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,design_10_6_25M_01_1,-2,1,9,PASS,44,"[[ 9.28050e-03 -3.92975e-02  3.23089e-02  2.94710e-05 -1.93284e-05
   1.39996e-05]
 [-3.92975e-02  5.79249e-01 -4.58833e-01 -4.12829e-04 -1.94196e-05
   5.00624e-05]
 [ 3.23089e-02 -4.58833e-01  3.76710e-01  3.12022e-04  1.33565e-05
  -3.66022e-05]
 [ 2.94710e-05 -4.12829e-04  3.12022e-04  3.43448e-06 -1.90510e-07
  -1.41197e-07]
 [-1.93284e-05 -1.94196e-05  1.33565e-05 -1.90510e-07  1.33295e-06
  -1.04271e-06]
 [ 1.39996e-05  5.00624e-05 -3.66022e-05 -1.41197e-07 -1.04271e-06
   9.29380e-07]]",[0.0963353  0.761084   0.613767   0.00185324 0.00115454 0.00096404],design_10_6_25M_01_1,0.0963353,0.761084,0.613767,0.00185324,0.00115454,0.000964044
9,-2,1,10,DTChamber,0.2315940857,0.8195800781,-0.6073303223,0.0037731436,-0.0015892957,0.0007574126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,design_10_6_25M_01_1,-2,1,10,PASS,37,"[[ 8.16956e-03 -4.05450e-02  3.31355e-02  4.87179e-05 -9.50970e-06
   3.92647e-06]
 [-4.05450e-02  6.06558e-01 -4.85024e-01 -7.03688e-04 -3.64983e-05
   8.97446e-05]
 [ 3.31355e-02 -4.85024e-01  3.96334e-01  5.61015e-04  2.87206e-05
  -7.13237e-05]
 [ 4.87179e-05 -7.03688e-04  5.61015e-04  3.47262e-06  4.28414e-08
  -3.22572e-07]
 [-9.50970e-06 -3.64983e-05  2.87206e-05  4.28414e-08  9.68909e-07
  -7.22667e-07]
 [ 3.92647e-06  8.97446e-05 -7.13237e-05 -3.22572e-07 -7.22667e-07
   6.82101e-07]]",[0.0903856  0.778818   0.629551   0.0018635  0.00098433 0.00082589],design_10_6_25M_01_1,0.0903856,0.778818,0.629551,0.0018635,0.000984332,0.000825894
